file	line	tag
frontend/src/pages/inbox/InboxPage.tsx	46	button
frontend/src/pages/inbox/InboxPage.tsx	55	button
frontend/src/pages/inbox/InboxPage.tsx	64	button
frontend/src/pages/inbox/InboxPage.tsx	78	PageLayout
frontend/src/pages/inbox/InboxPage.tsx	85	button
frontend/src/pages/inbox/InboxPage.tsx	91	select
frontend/src/pages/inbox/InboxProfileModal.tsx	88	button
frontend/src/pages/inbox/InboxProfileModal.tsx	101	button
frontend/src/pages/inbox/InboxProfileModal.tsx	161	select
frontend/src/pages/inbox/InboxProfileModal.tsx	180	textarea
frontend/src/pages/inbox/InboxProfileModal.tsx	190	textarea
frontend/src/pages/inbox/InboxProfileModal.tsx	200	select
frontend/src/pages/inbox/InboxProfileModal.tsx	209	textarea
frontend/src/pages/inbox/InboxProfileModal.tsx	215	select
frontend/src/pages/inbox/InboxProfileModal.tsx	226	select
frontend/src/pages/inbox/InboxProfileModal.tsx	264	textarea
frontend/src/pages/inbox/InboxSettingsModal.tsx	37	select
frontend/src/pages/inbox/ManualRecordSection.tsx	126	select
frontend/src/pages/inbox/ManualRecordSection.tsx	159	textarea
frontend/src/pages/inbox/ManualRecordSection.tsx	179	button
frontend/src/pages/inbox/ManualRecordSection.tsx	190	button
frontend/src/pages/inbox/OutboundTranslationPreview.tsx	86	button
frontend/src/pages/inbox/OutboundTranslationPreview.tsx	147	textarea
frontend/src/pages/inbox/OutboundTranslationPreview.tsx	164	button
frontend/src/pages/inbox/OutboundTranslationPreview.tsx	172	button
frontend/src/pages/inbox/SalesFormMultiSelect.tsx	102	button
frontend/src/pages/integrations/CarrierCredentialForm.tsx	136	button
frontend/src/pages/integrations/CarrierCredentialForm.tsx	143	button
frontend/src/pages/integrations/CarrierIntegrationPage.tsx	205	button
frontend/src/pages/integrations/CarrierIntegrationPage.tsx	269	button
frontend/src/pages/integrations/CarrierIntegrationPage.tsx	276	button
frontend/src/pages/integrations/CarrierIntegrationPage.tsx	279	button
frontend/src/pages/integrations/CarrierIntegrationPage.tsx	292	PageLayout
frontend/src/pages/integrations/CarrierSetupGuidePage.tsx	39	PageLayout
frontend/src/pages/integrations/FedexEtdSetupGuide.tsx	102	button
frontend/src/pages/integrations/FedexEtdSetupGuide.tsx	146	button
frontend/src/pages/integrations/FedexEtdSetupGuide.tsx	474	button
frontend/src/pages/integrations/FedexEtdSetupGuide.tsx	492	select
frontend/src/pages/integrations/FedexEtdSetupGuide.tsx	513	button
frontend/src/pages/integrations/FedexEtdSetupGuide.tsx	542	button
frontend/src/pages/integrations/FedexEtdSetupGuide.tsx	590	button
frontend/src/pages/integrations/FedexLabelValidationTab.tsx	252	button
frontend/src/pages/integrations/FedexLabelValidationTab.tsx	269	button
frontend/src/pages/integrations/FedexLabelValidationTab.tsx	366	button
frontend/src/pages/integrations/FedexLabelValidationTab.tsx	382	button
frontend/src/pages/integrations/FedexLabelValidationTab.tsx	402	button
frontend/src/pages/integrations/GoogleDriveIntegrationPage.tsx	106	PageLayout
frontend/src/pages/integrations/GoogleDriveIntegrationPage.tsx	130	button
frontend/src/pages/integrations/GoogleDriveIntegrationPage.tsx	149	button
frontend/src/pages/integrations/GoogleDriveIntegrationPage.tsx	173	button
frontend/src/pages/integrations/PaypalIntegrationPage.tsx	129	PageLayout
frontend/src/pages/integrations/PaypalIntegrationPage.tsx	162	select
frontend/src/pages/integrations/PaypalIntegrationPage.tsx	173	button
frontend/src/pages/integrations/PaypalIntegrationPage.tsx	177	button
frontend/src/pages/integrations/PaypalIntegrationPage.tsx	192	button
frontend/src/pages/integrations/PaypalIntegrationPage.tsx	220	button
frontend/src/pages/inventory/InventoryFilterPanel.tsx	304	button
frontend/src/pages/inventory/InventoryPage.tsx	337	button
frontend/src/pages/inventory/InventoryPage.tsx	371	PageLayout
frontend/src/pages/inventory/InventoryPage.tsx	379	ContentToolbar
frontend/src/pages/inventory/InventoryPage.tsx	394	button
frontend/src/pages/inventory/InventoryPage.tsx	397	button
frontend/src/pages/inventory/InventoryPage.tsx	400	button
frontend/src/pages/inventory/InventoryPage.tsx	467	button
frontend/src/pages/inventory/InventoryPage.tsx	476	select
frontend/src/pages/inventory/InventoryPage.tsx	501	table
frontend/src/pages/inventory/InventoryPage.tsx	602	button
frontend/src/pages/inventory/InventoryPage.tsx	608	button
frontend/src/pages/inventory/OwnInventoryPage.tsx	110	PageLayout
frontend/src/pages/inventory/OwnInventoryPage.tsx	168	button
frontend/src/pages/inventory/OwnInventoryPage.tsx	176	button
frontend/src/pages/inventory/OwnInventoryPage.tsx	184	button
frontend/src/pages/inventory/OwnInventoryPage.tsx	197	DataTable
frontend/src/pages/inventory/OwnInventoryPage.tsx	209	button
frontend/src/pages/inventory/OwnInventoryPage.tsx	218	button
frontend/src/pages/invoice-create/InvoiceCreatePage.tsx	218	PageLayout
frontend/src/pages/invoice-create/InvoiceCreatePage.tsx	223	button
frontend/src/pages/invoice-create/InvoiceCreatePage.tsx	233	button
frontend/src/pages/invoice-create/InvoiceCreatePage.tsx	240	button
frontend/src/pages/invoice-create/InvoiceCreatePage.tsx	257	table
frontend/src/pages/invoice-create/InvoiceCreatePage.tsx	271	button
frontend/src/pages/invoice-create/InvoiceCreatePage.tsx	307	select
frontend/src/pages/invoice-create/InvoiceCreatePage.tsx	322	table
frontend/src/pages/invoice-create/InvoiceCreatePage.tsx	393	button
frontend/src/pages/invoice-create/InvoiceCreatePage.tsx	403	button
frontend/src/pages/invoice-create/InvoiceCreatePage.tsx	434	button
frontend/src/pages/invoice-create/InvoiceCreatePage.tsx	435	button
frontend/src/pages/invoice-detail/InvoiceDetailPage.tsx	186	PageLayout
frontend/src/pages/invoice-detail/InvoiceDetailPage.tsx	190	ContentToolbar
frontend/src/pages/invoice-detail/InvoiceDetailPage.tsx	194	button
frontend/src/pages/invoice-detail/InvoiceDetailPage.tsx	197	button
frontend/src/pages/invoice-detail/InvoiceDetailPage.tsx	200	button
frontend/src/pages/invoice-detail/InvoiceDetailPage.tsx	203	button
frontend/src/pages/invoice-detail/InvoiceDetailPage.tsx	206	button
frontend/src/pages/invoice-detail/InvoiceDetailPage.tsx	208	button
frontend/src/pages/invoice-detail/InvoiceDetailPage.tsx	234	button
frontend/src/pages/invoice-detail/InvoiceDetailPage.tsx	243	table
frontend/src/pages/invoice-detail/InvoiceDetailPage.tsx	272	button
frontend/src/pages/invoice-detail/InvoiceDetailPage.tsx	273	button
frontend/src/pages/invoice-detail/InvoiceDetailPage.tsx	305	table
frontend/src/pages/invoices/InvoicesPage.tsx	113	button
frontend/src/pages/invoices/InvoicesPage.tsx	121	PageLayout
frontend/src/pages/invoices/InvoicesPage.tsx	126	button
frontend/src/pages/invoices/InvoicesPage.tsx	127	button
frontend/src/pages/invoices/InvoicesPage.tsx	129	ContentToolbar
frontend/src/pages/invoices/InvoicesPage.tsx	131	SelectControl
