"file"	"line"	"tag"	"className"
"frontend/src/pages/company-detail/CompanyDiscordTab.tsx"	"90"	"button"	"""btn-sm btn-primary"""
"frontend/src/pages/company-detail/CompanyDiscordTab.tsx"	"97"	"button"	"""btn-sm btn-danger"""
"frontend/src/pages/contacts/ContactEditPage.tsx"	"198"	"button"	"""btn-primary"""
"frontend/src/pages/contacts/ContactEditPage.tsx"	"201"	"button"	""
"frontend/src/pages/contacts/ContactEditPage.tsx"	"209"	"button"	"""btn-secondary"""
"frontend/src/pages/contacts/ContactEditPage.tsx"	"210"	"button"	"""btn-primary"""
"frontend/src/pages/contacts/ContactsPage.tsx"	"252"	"button"	"""btn-primary field-h-md"""
"frontend/src/pages/contacts/ContactsPage.tsx"	"350"	"button"	""
"frontend/src/pages/contacts/ContactsPage.tsx"	"351"	"button"	"""btn-primary"""
"frontend/src/pages/contacts/ContactsPage.tsx"	"373"	"button"	"""btn-secondary"""
"frontend/src/pages/contacts/ContactsPage.tsx"	"374"	"button"	"""btn-primary"""
"frontend/src/pages/contacts/ContactsPage.tsx"	"396"	"button"	"""btn-sm"""
"frontend/src/pages/contacts/ContactsPage.tsx"	"399"	"button"	"""btn-sm"""
"frontend/src/pages/contacts/ContactsPage.tsx"	"404"	"button"	"""btn-sm btn-danger"""
"frontend/src/pages/dashboard/DashboardPage.tsx"	"423"	"button"	"{`db-tab${viewMode === ""management"" ? "" active"" : """"}`}"
"frontend/src/pages/dashboard/DashboardPage.tsx"	"430"	"button"	"{`db-tab${viewMode === ""player"" ? "" active"" : """"}`}"
"frontend/src/pages/dashboard/DashboardPage.tsx"	"543"	"button"	"""db-set-goals-btn"""
"frontend/src/pages/dashboard/FollowUpsPage.tsx"	"148"	"button"	"{`fu-filter-chip${filter === f.key ? "" active"" : """"} fu-chip--${f.key}`}"
"frontend/src/pages/dashboard/FunnelReasonsPage.tsx"	"41"	"button"	"{`frr-tab${reasonType === ""won"" ? "" active"" : """"}`}"
"frontend/src/pages/dashboard/FunnelReasonsPage.tsx"	"48"	"button"	"{`frr-tab${reasonType === ""lost"" ? "" active"" : """"}`}"
"frontend/src/pages/dashboard/FunnelSection.tsx"	"107"	"button"	"""fn-link-btn"""
"frontend/src/pages/dashboard/FunnelSection.tsx"	"256"	"button"	"""fn-link-btn"""
"frontend/src/pages/dashboard/FunnelSection.tsx"	"341"	"button"	"""fn-link-btn"""
"frontend/src/pages/dashboard/FunnelSection.tsx"	"370"	"button"	"""fn-link-btn"""
"frontend/src/pages/dashboard/FunnelSection.tsx"	"413"	"button"	"""fn-link-btn"""
"frontend/src/pages/erp/ERPPage.tsx"	"58"	"button"	"""btn-primary field-h-md"""
"frontend/src/pages/goal-setting/GoalSettingPage.tsx"	"201"	"button"	"""btn-primary gs-save-btn"""
"frontend/src/pages/goal-setting/GoalSettingPage.tsx"	"343"	"button"	"{`gs-advisor__toggle-btn${kgiType === ""revenue"" ? "" is-active"" : """"}`}"
"frontend/src/pages/goal-setting/GoalSettingPage.tsx"	"351"	"button"	"{`gs-advisor__toggle-btn${kgiType === ""wins"" ? "" is-active"" : """"}`}"
"frontend/src/pages/goal-setting/GoalSettingPage.tsx"	"360"	"button"	"""btn-primary gs-advisor__run-btn"""
"frontend/src/pages/inbox/InboxConversationList.tsx"	"70"	"button"	"{`inbox-manage-btn${selectMode ? "" active"" : """"}`}"
"frontend/src/pages/inbox/InboxConversationList.tsx"	"81"	"button"	"""dropdown-item"""
"frontend/src/pages/inbox/InboxConversationList.tsx"	"107"	"button"	"""inbox-bulk-action"""
"frontend/src/pages/inbox/InboxConversationList.tsx"	"111"	"button"	"""inbox-bulk-action"""
"frontend/src/pages/inbox/InboxConversationList.tsx"	"115"	"button"	"""inbox-bulk-action"""
"frontend/src/pages/inbox/InboxConversationList.tsx"	"119"	"button"	"""inbox-bulk-action inbox-bulk-delete"""
"frontend/src/pages/inbox/InboxConversationList.tsx"	"128"	"button"	"{`inbox-sub-filter-pill${unreadOnly ? "" active"" : """"}`}"
"frontend/src/pages/inbox/InboxConversationList.tsx"	"135"	"button"	"{`inbox-sub-filter-pill${followUpOnly ? "" active"" : """"}`}"
"frontend/src/pages/inbox/InboxConversationList.tsx"	"166"	"button"	""
"frontend/src/pages/inbox/InboxConversationList.tsx"	"194"	"button"	"{`conv-item conversation-item${isSelected ? "" selected"" : """"}${selectMode && isBulkChecked ? "" bulk-selected"" : """"}`}"
"frontend/src/pages/inbox/InboxKartePanel.tsx"	"125"	"button"	"""karte-close-btn"""
"frontend/src/pages/inbox/InboxKartePanel.tsx"	"166"	"button"	"""karte-open-link"""
"frontend/src/pages/inbox/InboxKartePanel.tsx"	"182"	"button"	"{`right-panel-tab${karteTab === tab ? "" active"" : """"}`}"
"frontend/src/pages/inbox/InboxKartePanel.tsx"	"270"	"button"	"""karte-action-primary"""
"frontend/src/pages/inbox/InboxKartePanel.tsx"	"273"	"button"	"""karte-action-overflow"""
"frontend/src/pages/inbox/InboxKartePanel.tsx"	"286"	"button"	"""karte-overflow-item"""
"frontend/src/pages/inbox/InboxKartePanel.tsx"	"295"	"button"	"""karte-overflow-item"""
"frontend/src/pages/inbox/InboxKartePanel.tsx"	"305"	"button"	"""karte-overflow-item"""
"frontend/src/pages/inbox/InboxKartePanel.tsx"	"318"	"button"	"""btn-sm"""
"frontend/src/pages/inbox/InboxKartePanel.tsx"	"733"	"button"	"""btn btn-secondary text-xs"""
"frontend/src/pages/inbox/InboxKartePanel.tsx"	"791"	"button"	"""btn btn-secondary text-xs"""
"frontend/src/pages/inbox/InboxKartePanel.tsx"	"834"	"button"	"""btn btn-secondary text-xs"""
"frontend/src/pages/inbox/InboxKartePanel.tsx"	"842"	"button"	"""btn btn-secondary text-xs"""
"frontend/src/pages/inbox/InboxKartePanel.tsx"	"849"	"button"	"""btn btn-danger text-xs"""
"frontend/src/pages/inbox/InboxMessageThread.tsx"	"381"	"button"	"""inbox-thread-action-btn"""
"frontend/src/pages/inbox/InboxMessageThread.tsx"	"388"	"button"	"""karte-toggle-btn"""
"frontend/src/pages/inbox/InboxMessageThread.tsx"	"396"	"button"	"""inbox-header-menu-btn"""
"frontend/src/pages/inbox/InboxMessageThread.tsx"	"408"	"button"	"""inbox-header-menu-item"""
"frontend/src/pages/inbox/InboxMessageThread.tsx"	"413"	"button"	"""inbox-header-menu-item"""
"frontend/src/pages/inbox/InboxMessageThread.tsx"	"418"	"button"	"""inbox-header-menu-item danger"""
"frontend/src/pages/inbox/InboxMessageThread.tsx"	"424"	"button"	"""inbox-header-menu-item"""
"frontend/src/pages/inbox/InboxMessageThread.tsx"	"537"	"button"	"""msg-translate-btn"""
"frontend/src/pages/inbox/InboxMessageThread.tsx"	"579"	"button"	"""send-guard-btn send-guard-btn--translate"""
"frontend/src/pages/inbox/InboxMessageThread.tsx"	"589"	"button"	"""send-guard-btn send-guard-btn--asis"""
"frontend/src/pages/inbox/InboxMessageThread.tsx"	"599"	"button"	"""send-guard-btn send-guard-btn--cancel"""
"frontend/src/pages/inbox/InboxMessageThread.tsx"	"632"	"button"	"""send-preview-remove"""
"frontend/src/pages/inbox/InboxMessageThread.tsx"	"676"	"button"	"""send-attach-btn"""
"frontend/src/pages/inbox/InboxMessageThread.tsx"	"689"	"button"	"""inbox-translate-outbound-btn"""
"frontend/src/pages/inbox/InboxMessageThread.tsx"	"701"	"button"	"""inbox-send-btn"""
"frontend/src/pages/inbox/InboxPage.tsx"	"46"	"button"	"""btn-ghost"""
"frontend/src/pages/inbox/InboxPage.tsx"	"55"	"button"	"""btn-ghost"""
"frontend/src/pages/inbox/InboxPage.tsx"	"64"	"button"	"""icon-btn"""
"frontend/src/pages/inbox/InboxPage.tsx"	"85"	"button"	"{`inbox-full-tab${state.statusTab === tab.key ? "" active"" : """"}`}"
"frontend/src/pages/inbox/InboxProfileModal.tsx"	"88"	"button"	"""inbox-profile-modal-close"""
"frontend/src/pages/inbox/InboxProfileModal.tsx"	"101"	"button"	"{`right-panel-tab${profileModalTab === tab ? "" active"" : """"}`}"
"frontend/src/pages/inbox/ManualRecordSection.tsx"	"179"	"button"	"""manual-record-dup-force-btn"""
"frontend/src/pages/inbox/ManualRecordSection.tsx"	"190"	"button"	"""manual-record-save-btn"""
"frontend/src/pages/inbox/OutboundTranslationPreview.tsx"	"86"	"button"	"""outbound-translation-close"""
"frontend/src/pages/inbox/OutboundTranslationPreview.tsx"	"164"	"button"	"""outbound-translation-back-btn"""
"frontend/src/pages/inbox/OutboundTranslationPreview.tsx"	"172"	"button"	"""outbound-translation-send-btn"""
"frontend/src/pages/inbox/SalesFormMultiSelect.tsx"	"102"	"button"	"""right-panel-field sales-form-trigger"""
"frontend/src/pages/integrations/CarrierCredentialForm.tsx"	"136"	"button"	"""btn-secondary"""
"frontend/src/pages/integrations/CarrierCredentialForm.tsx"	"143"	"button"	"""btn-primary"""
"frontend/src/pages/integrations/CarrierIntegrationPage.tsx"	"205"	"button"	"""btn-secondary"""
"frontend/src/pages/integrations/CarrierIntegrationPage.tsx"	"269"	"button"	"""btn-secondary"""
"frontend/src/pages/integrations/CarrierIntegrationPage.tsx"	"276"	"button"	"""btn-secondary"""
"frontend/src/pages/integrations/CarrierIntegrationPage.tsx"	"279"	"button"	"""btn-ghost carrier-env-card__delete-btn"""
"frontend/src/pages/integrations/FedexEtdSetupGuide.tsx"	"102"	"button"	"{`etd-guide__substep-nav-item${i === activeIndex ? "" etd-guide__substep-nav-item--active"" : """"}`}"
"frontend/src/pages/integrations/FedexEtdSetupGuide.tsx"	"146"	"button"	"""btn-primary"""
"frontend/src/pages/integrations/FedexEtdSetupGuide.tsx"	"474"	"button"	"""btn-primary"""
"frontend/src/pages/integrations/FedexEtdSetupGuide.tsx"	"513"	"button"	"""btn-secondary"""
"frontend/src/pages/integrations/FedexEtdSetupGuide.tsx"	"542"	"button"	"""btn-secondary"""
"frontend/src/pages/integrations/FedexEtdSetupGuide.tsx"	"590"	"button"	"""btn-primary"""
"frontend/src/pages/integrations/FedexLabelValidationTab.tsx"	"252"	"button"	"""btn-primary"""
"frontend/src/pages/integrations/FedexLabelValidationTab.tsx"	"269"	"button"	"""btn-secondary btn-sm"""
"frontend/src/pages/integrations/FedexLabelValidationTab.tsx"	"366"	"button"	"""btn-secondary"""
"frontend/src/pages/integrations/FedexLabelValidationTab.tsx"	"382"	"button"	"""btn-secondary"""
"frontend/src/pages/integrations/FedexLabelValidationTab.tsx"	"402"	"button"	"""btn-secondary"""
"frontend/src/pages/integrations/GoogleDriveIntegrationPage.tsx"	"130"	"button"	"""btn-primary"""
